"기준일","요일","시군구","연령대","성별","통화건수"
20170201,"수","마포구","40대","여",80
20170201,"수","마포구","50대","남",29
20170201,"수","마포구","50대","여",35
20170201,"수","마포구","60대이상","남",5
20170201,"수","마포구","60대이상","여",15
20170201,"수","서대문구","10대","남",32
20170201,"수","서대문구","10대","여",36
20170201,"수","서대문구","20대","남",74
20170201,"수","서대문구","20대","여",78
20170201,"수","서대문구","30대","남",121
20170201,"수","서대문구","30대","여",71
20170201,"수","서대문구","40대","남",62
20170201,"수","서대문구","40대","여",102
20170201,"수","서대문구","50대","남",31
20170201,"수","서대문구","50대","여",44
20170201,"수","서대문구","60대이상","남",20
20170201,"수","서대문구","60대이상","여",17
20170201,"수","서초구","10대","남",39
20170201,"수","서초구","10대","여",30
20170201,"수","서초구","20대","남",79
20170201,"수","서초구","20대","여",56
20170201,"수","서초구","30대","남",83
20170201,"수","서초구","30대","여",111
20170201,"수","서초구","40대","남",68
20170201,"수","서초구","40대","여",121
20170201,"수","서초구","50대","남",25
20170201,"수","서초구","50대","여",40
20170201,"수","서초구","60대이상","남",15
20170201,"수","서초구","60대이상","여",23
20170201,"수","성동구","10대","남",24
20170201,"수","성동구","10대","여",20
20170201,"수","성동구","20대","남",65
20170201,"수","성동구","20대","여",42
20170201,"수","성동구","30대","남",77
20170201,"수","성동구","30대","여",54
20170201,"수","성동구","40대","남",47
20170201,"수","성동구","40대","여",63
20170201,"수","성동구","50대","남",17
20170201,"수","성동구","50대","여",36
20170201,"수","성동구","60대이상","남",8
20170201,"수","성동구","60대이상","여",5
20170201,"수","성북구","10대","남",39
20170201,"수","성북구","10대","여",34
20170201,"수","성북구","20대","남",60
20170201,"수","성북구","20대","여",57
20170201,"수","성북구","30대","남",73
20170201,"수","성북구","30대","여",63
20170201,"수","성북구","40대","남",50
20170201,"수","성북구","40대","여",67
20170201,"수","성북구","50대","남",40
20170201,"수","성북구","50대","여",24
20170201,"수","성북구","60대이상","남",14
20170201,"수","성북구","60대이상","여",20
20170201,"수","송파구","10대","남",52
20170201,"수","송파구","10대","여",49
20170201,"수","송파구","20대","남",90
20170201,"수","송파구","20대","여",82
20170201,"수","송파구","30대","남",127
20170201,"수","송파구","30대","여",115
20170201,"수","송파구","40대","남",68
20170201,"수","송파구","40대","여",191
20170201,"수","송파구","50대","남",55
20170201,"수","송파구","50대","여",42
20170201,"수","송파구","60대이상","남",15
20170201,"수","송파구","60대이상","여",15
20170201,"수","양천구","10대","남",26
20170201,"수","양천구","10대","여",15
20170201,"수","양천구","20대","남",33
20170201,"수","양천구","20대","여",27
20170201,"수","양천구","30대","남",28
20170201,"수","양천구","30대","여",44
20170201,"수","양천구","40대","남",18
20170201,"수","양천구","40대","여",52
20170201,"수","양천구","50대","남",14
20170201,"수","양천구","50대","여",19
20170201,"수","양천구","60대이상","남",4
20170201,"수","양천구","60대이상","여",11
20170201,"수","영등포구","10대","남",37
20170201,"수","영등포구","10대","여",33
20170201,"수","영등포구","20대","남",105
20170201,"수","영등포구","20대","여",79
20170201,"수","영등포구","30대","남",118
20170201,"수","영등포구","30대","여",126
20170201,"수","영등포구","40대","남",79
20170201,"수","영등포구","40대","여",127
20170201,"수","영등포구","50대","남",48
20170201,"수","영등포구","50대","여",41
20170201,"수","영등포구","60대이상","남",31
20170201,"수","영등포구","60대이상","여",14
20170201,"수","용산구","10대","남",25
20170201,"수","용산구","10대","여",29
20170201,"수","용산구","20대","남",62
20170201,"수","용산구","20대","여",58
20170201,"수","용산구","30대","남",89
20170201,"수","용산구","30대","여",81
20170201,"수","용산구","40대","남",66
20170201,"수","용산구","40대","여",69
20170201,"수","용산구","50대","남",28
20170201,"수","용산구","50대","여",43
20170201,"수","용산구","60대이상","남",10
20170201,"수","용산구","60대이상","여",16
20170201,"수","은평구","10대","남",46
20170201,"수","은평구","10대","여",32
20170201,"수","은평구","20대","남",67
20170201,"수","은평구","20대","여",53
20170201,"수","은평구","30대","남",65
20170201,"수","은평구","30대","여",100
20170201,"수","은평구","40대","남",63
20170201,"수","은평구","40대","여",105
20170201,"수","은평구","50대","남",37
20170201,"수","은평구","50대","여",52
20170201,"수","은평구","60대이상","남",16
20170201,"수","은평구","60대이상","여",18
20170201,"수","종로구","10대","남",25
20170201,"수","종로구","10대","여",11
20170201,"수","종로구","20대","남",52
20170201,"수","종로구","20대","여",41
20170201,"수","종로구","30대","남",31
20170201,"수","종로구","30대","여",42
20170201,"수","종로구","40대","남",41
20170201,"수","종로구","40대","여",36
20170201,"수","종로구","50대","남",15
20170201,"수","종로구","50대","여",19
20170201,"수","종로구","60대이상","남",5
20170201,"수","종로구","60대이상","여",14
20170201,"수","중구","10대","남",16
20170201,"수","중구","10대","여",19
20170201,"수","중구","20대","남",66
20170201,"수","중구","20대","여",52
20170201,"수","중구","30대","남",90
20170201,"수","중구","30대","여",81
20170201,"수","중구","40대","남",46
20170201,"수","중구","40대","여",77
20170201,"수","중구","50대","남",34
20170201,"수","중구","50대","여",41
20170201,"수","중구","60대이상","남",13
20170201,"수","중구","60대이상","여",18
20170201,"수","중랑구","10대","남",27
20170201,"수","중랑구","10대","여",15
20170201,"수","중랑구","20대","남",49
20170201,"수","중랑구","20대","여",49
20170201,"수","중랑구","30대","남",65
20170201,"수","중랑구","30대","여",56
20170201,"수","중랑구","40대","남",44
20170201,"수","중랑구","40대","여",80
20170201,"수","중랑구","50대","남",21
20170201,"수","중랑구","50대","여",30
20170201,"수","중랑구","60대이상","남",15
20170201,"수","중랑구","60대이상","여",17
20170202,"목","강남구","10대","남",74
20170202,"목","강남구","10대","여",44
20170202,"목","강남구","20대","남",135
20170202,"목","강남구","20대","여",120
20170202,"목","강남구","30대","남",157
20170202,"목","강남구","30대","여",151
20170202,"목","강남구","40대","남",127
20170202,"목","강남구","40대","여",213
20170202,"목","강남구","50대","남",50
20170202,"목","강남구","50대","여",73
20170202,"목","강남구","60대이상","남",36
20170202,"목","강남구","60대이상","여",34
20170202,"목","강동구","10대","남",47
20170202,"목","강동구","10대","여",30
20170202,"목","강동구","20대","남",73
20170202,"목","강동구","20대","여",72
20170202,"목","강동구","30대","남",79
20170202,"목","강동구","30대","여",94
20170202,"목","강동구","40대","남",68
20170202,"목","강동구","40대","여",119
20170202,"목","강동구","50대","남",43
20170202,"목","강동구","50대","여",47
20170202,"목","강동구","60대이상","남",24
